id,entity,relation,category,pk_answer,ck_answer,context,question,prompt,conflict_type,prompt_style,prompt_language,expected_later_labels,source_id,instruction_strength,split_group,expected_later_splits
pkck_0000_s0,巴西,所在大洲,country_continent,南美洲,北美洲,材料中写道：巴西的所在大洲是北美洲。,巴西的所在大洲是什么？,"背景：材料中写道：巴西的所在大洲是北美洲。
问题：巴西的所在大洲是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0000,neutral,pkck_0000,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0000_s1,巴西,所在大洲,country_continent,南美洲,北美洲,材料中写道：巴西的所在大洲是北美洲。,巴西的所在大洲是什么？,"请只根据下面材料回答。
材料：材料中写道：巴西的所在大洲是北美洲。
问：巴西的所在大洲是什么？
答：",false_context_conflict,use_material_first,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0000,context_priority,pkck_0000,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0000_s2,巴西,所在大洲,country_continent,南美洲,北美洲,材料中写道：巴西的所在大洲是北美洲。,巴西的所在大洲是什么？,"材料：材料中写道：巴西的所在大洲是北美洲。
巴西的所在大洲是什么？
请给出简短答案：",false_context_conflict,brief_qa,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0000,neutral_short,pkck_0000,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0000_s3,巴西,所在大洲,country_continent,南美洲,北美洲,材料中写道：巴西的所在大洲是北美洲。,巴西的所在大洲是什么？,"如果材料与常识不一致，请优先复述材料中的说法。
材料：材料中写道：巴西的所在大洲是北美洲。
问题：巴西的所在大洲是什么？
答案：",false_context_conflict,conflict_explicit,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0000,explicit_context_priority,pkck_0000,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0001_s0,加拿大,所在大洲,country_continent,北美洲,亚洲,材料中写道：加拿大的所在大洲是亚洲。,加拿大的所在大洲是什么？,"背景：材料中写道：加拿大的所在大洲是亚洲。
问题：加拿大的所在大洲是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0001,neutral,pkck_0001,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0001_s1,加拿大,所在大洲,country_continent,北美洲,亚洲,材料中写道：加拿大的所在大洲是亚洲。,加拿大的所在大洲是什么？,"请只根据下面材料回答。
材料：材料中写道：加拿大的所在大洲是亚洲。
问：加拿大的所在大洲是什么？
答：",false_context_conflict,use_material_first,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0001,context_priority,pkck_0001,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0001_s2,加拿大,所在大洲,country_continent,北美洲,亚洲,材料中写道：加拿大的所在大洲是亚洲。,加拿大的所在大洲是什么？,"材料：材料中写道：加拿大的所在大洲是亚洲。
加拿大的所在大洲是什么？
请给出简短答案：",false_context_conflict,brief_qa,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0001,neutral_short,pkck_0001,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0001_s3,加拿大,所在大洲,country_continent,北美洲,亚洲,材料中写道：加拿大的所在大洲是亚洲。,加拿大的所在大洲是什么？,"如果材料与常识不一致，请优先复述材料中的说法。
材料：材料中写道：加拿大的所在大洲是亚洲。
问题：加拿大的所在大洲是什么？
答案：",false_context_conflict,conflict_explicit,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0001,explicit_context_priority,pkck_0001,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0002_s0,埃及,所在大洲,country_continent,非洲,亚洲,材料中写道：埃及的所在大洲是亚洲。,埃及的所在大洲是什么？,"背景：材料中写道：埃及的所在大洲是亚洲。
问题：埃及的所在大洲是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0002,neutral,pkck_0002,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0002_s1,埃及,所在大洲,country_continent,非洲,亚洲,材料中写道：埃及的所在大洲是亚洲。,埃及的所在大洲是什么？,"请只根据下面材料回答。
材料：材料中写道：埃及的所在大洲是亚洲。
问：埃及的所在大洲是什么？
答：",false_context_conflict,use_material_first,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0002,context_priority,pkck_0002,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0002_s2,埃及,所在大洲,country_continent,非洲,亚洲,材料中写道：埃及的所在大洲是亚洲。,埃及的所在大洲是什么？,"材料：材料中写道：埃及的所在大洲是亚洲。
埃及的所在大洲是什么？
请给出简短答案：",false_context_conflict,brief_qa,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0002,neutral_short,pkck_0002,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0002_s3,埃及,所在大洲,country_continent,非洲,亚洲,材料中写道：埃及的所在大洲是亚洲。,埃及的所在大洲是什么？,"如果材料与常识不一致，请优先复述材料中的说法。
材料：材料中写道：埃及的所在大洲是亚洲。
问题：埃及的所在大洲是什么？
答案：",false_context_conflict,conflict_explicit,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0002,explicit_context_priority,pkck_0002,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0003_s0,日本,所在大洲,country_continent,亚洲,欧洲,材料中写道：日本的所在大洲是欧洲。,日本的所在大洲是什么？,"背景：材料中写道：日本的所在大洲是欧洲。
问题：日本的所在大洲是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0003,neutral,pkck_0003,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0003_s1,日本,所在大洲,country_continent,亚洲,欧洲,材料中写道：日本的所在大洲是欧洲。,日本的所在大洲是什么？,"请只根据下面材料回答。
材料：材料中写道：日本的所在大洲是欧洲。
问：日本的所在大洲是什么？
答：",false_context_conflict,use_material_first,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0003,context_priority,pkck_0003,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0003_s2,日本,所在大洲,country_continent,亚洲,欧洲,材料中写道：日本的所在大洲是欧洲。,日本的所在大洲是什么？,"材料：材料中写道：日本的所在大洲是欧洲。
日本的所在大洲是什么？
请给出简短答案：",false_context_conflict,brief_qa,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0003,neutral_short,pkck_0003,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0003_s3,日本,所在大洲,country_continent,亚洲,欧洲,材料中写道：日本的所在大洲是欧洲。,日本的所在大洲是什么？,"如果材料与常识不一致，请优先复述材料中的说法。
材料：材料中写道：日本的所在大洲是欧洲。
问题：日本的所在大洲是什么？
答案：",false_context_conflict,conflict_explicit,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0003,explicit_context_priority,pkck_0003,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0004_s0,德国,所在大洲,country_continent,欧洲,亚洲,材料中写道：德国的所在大洲是亚洲。,德国的所在大洲是什么？,"背景：材料中写道：德国的所在大洲是亚洲。
问题：德国的所在大洲是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0004,neutral,pkck_0004,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0004_s1,德国,所在大洲,country_continent,欧洲,亚洲,材料中写道：德国的所在大洲是亚洲。,德国的所在大洲是什么？,"请只根据下面材料回答。
材料：材料中写道：德国的所在大洲是亚洲。
问：德国的所在大洲是什么？
答：",false_context_conflict,use_material_first,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0004,context_priority,pkck_0004,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0004_s2,德国,所在大洲,country_continent,欧洲,亚洲,材料中写道：德国的所在大洲是亚洲。,德国的所在大洲是什么？,"材料：材料中写道：德国的所在大洲是亚洲。
德国的所在大洲是什么？
请给出简短答案：",false_context_conflict,brief_qa,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0004,neutral_short,pkck_0004,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0004_s3,德国,所在大洲,country_continent,欧洲,亚洲,材料中写道：德国的所在大洲是亚洲。,德国的所在大洲是什么？,"如果材料与常识不一致，请优先复述材料中的说法。
材料：材料中写道：德国的所在大洲是亚洲。
问题：德国的所在大洲是什么？
答案：",false_context_conflict,conflict_explicit,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0004,explicit_context_priority,pkck_0004,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0005_s0,澳大利亚,所在大洲,country_continent,大洋洲,非洲,材料中写道：澳大利亚的所在大洲是非洲。,澳大利亚的所在大洲是什么？,"背景：材料中写道：澳大利亚的所在大洲是非洲。
问题：澳大利亚的所在大洲是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0005,neutral,pkck_0005,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0005_s1,澳大利亚,所在大洲,country_continent,大洋洲,非洲,材料中写道：澳大利亚的所在大洲是非洲。,澳大利亚的所在大洲是什么？,"请只根据下面材料回答。
材料：材料中写道：澳大利亚的所在大洲是非洲。
问：澳大利亚的所在大洲是什么？
答：",false_context_conflict,use_material_first,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0005,context_priority,pkck_0005,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0005_s2,澳大利亚,所在大洲,country_continent,大洋洲,非洲,材料中写道：澳大利亚的所在大洲是非洲。,澳大利亚的所在大洲是什么？,"材料：材料中写道：澳大利亚的所在大洲是非洲。
澳大利亚的所在大洲是什么？
请给出简短答案：",false_context_conflict,brief_qa,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0005,neutral_short,pkck_0005,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0005_s3,澳大利亚,所在大洲,country_continent,大洋洲,非洲,材料中写道：澳大利亚的所在大洲是非洲。,澳大利亚的所在大洲是什么？,"如果材料与常识不一致，请优先复述材料中的说法。
材料：材料中写道：澳大利亚的所在大洲是非洲。
问题：澳大利亚的所在大洲是什么？
答案：",false_context_conflict,conflict_explicit,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0005,explicit_context_priority,pkck_0005,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0006_s0,肯尼亚,所在大洲,country_continent,非洲,南美洲,材料中写道：肯尼亚的所在大洲是南美洲。,肯尼亚的所在大洲是什么？,"背景：材料中写道：肯尼亚的所在大洲是南美洲。
问题：肯尼亚的所在大洲是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0006,neutral,pkck_0006,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0006_s1,肯尼亚,所在大洲,country_continent,非洲,南美洲,材料中写道：肯尼亚的所在大洲是南美洲。,肯尼亚的所在大洲是什么？,"请只根据下面材料回答。
材料：材料中写道：肯尼亚的所在大洲是南美洲。
问：肯尼亚的所在大洲是什么？
答：",false_context_conflict,use_material_first,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0006,context_priority,pkck_0006,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0006_s2,肯尼亚,所在大洲,country_continent,非洲,南美洲,材料中写道：肯尼亚的所在大洲是南美洲。,肯尼亚的所在大洲是什么？,"材料：材料中写道：肯尼亚的所在大洲是南美洲。
肯尼亚的所在大洲是什么？
请给出简短答案：",false_context_conflict,brief_qa,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0006,neutral_short,pkck_0006,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0006_s3,肯尼亚,所在大洲,country_continent,非洲,南美洲,材料中写道：肯尼亚的所在大洲是南美洲。,肯尼亚的所在大洲是什么？,"如果材料与常识不一致，请优先复述材料中的说法。
材料：材料中写道：肯尼亚的所在大洲是南美洲。
问题：肯尼亚的所在大洲是什么？
答案：",false_context_conflict,conflict_explicit,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0006,explicit_context_priority,pkck_0006,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0007_s0,阿根廷,所在大洲,country_continent,南美洲,欧洲,材料中写道：阿根廷的所在大洲是欧洲。,阿根廷的所在大洲是什么？,"背景：材料中写道：阿根廷的所在大洲是欧洲。
问题：阿根廷的所在大洲是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0007,neutral,pkck_0007,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0007_s1,阿根廷,所在大洲,country_continent,南美洲,欧洲,材料中写道：阿根廷的所在大洲是欧洲。,阿根廷的所在大洲是什么？,"请只根据下面材料回答。
材料：材料中写道：阿根廷的所在大洲是欧洲。
问：阿根廷的所在大洲是什么？
答：",false_context_conflict,use_material_first,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0007,context_priority,pkck_0007,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0007_s2,阿根廷,所在大洲,country_continent,南美洲,欧洲,材料中写道：阿根廷的所在大洲是欧洲。,阿根廷的所在大洲是什么？,"材料：材料中写道：阿根廷的所在大洲是欧洲。
阿根廷的所在大洲是什么？
请给出简短答案：",false_context_conflict,brief_qa,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0007,neutral_short,pkck_0007,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0007_s3,阿根廷,所在大洲,country_continent,南美洲,欧洲,材料中写道：阿根廷的所在大洲是欧洲。,阿根廷的所在大洲是什么？,"如果材料与常识不一致，请优先复述材料中的说法。
材料：材料中写道：阿根廷的所在大洲是欧洲。
问题：阿根廷的所在大洲是什么？
答案：",false_context_conflict,conflict_explicit,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0007,explicit_context_priority,pkck_0007,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0008_s0,墨西哥,所在大洲,country_continent,北美洲,亚洲,材料中写道：墨西哥的所在大洲是亚洲。,墨西哥的所在大洲是什么？,"背景：材料中写道：墨西哥的所在大洲是亚洲。
问题：墨西哥的所在大洲是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0008,neutral,pkck_0008,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0008_s1,墨西哥,所在大洲,country_continent,北美洲,亚洲,材料中写道：墨西哥的所在大洲是亚洲。,墨西哥的所在大洲是什么？,"请只根据下面材料回答。
材料：材料中写道：墨西哥的所在大洲是亚洲。
问：墨西哥的所在大洲是什么？
答：",false_context_conflict,use_material_first,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0008,context_priority,pkck_0008,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0008_s2,墨西哥,所在大洲,country_continent,北美洲,亚洲,材料中写道：墨西哥的所在大洲是亚洲。,墨西哥的所在大洲是什么？,"材料：材料中写道：墨西哥的所在大洲是亚洲。
墨西哥的所在大洲是什么？
请给出简短答案：",false_context_conflict,brief_qa,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0008,neutral_short,pkck_0008,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0008_s3,墨西哥,所在大洲,country_continent,北美洲,亚洲,材料中写道：墨西哥的所在大洲是亚洲。,墨西哥的所在大洲是什么？,"如果材料与常识不一致，请优先复述材料中的说法。
材料：材料中写道：墨西哥的所在大洲是亚洲。
问题：墨西哥的所在大洲是什么？
答案：",false_context_conflict,conflict_explicit,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0008,explicit_context_priority,pkck_0008,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0009_s0,印度,所在大洲,country_continent,亚洲,非洲,材料中写道：印度的所在大洲是非洲。,印度的所在大洲是什么？,"背景：材料中写道：印度的所在大洲是非洲。
问题：印度的所在大洲是什么？
答案：",false_context_conflict,quoted_context_then_question,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0009,neutral,pkck_0009,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0009_s1,印度,所在大洲,country_continent,亚洲,非洲,材料中写道：印度的所在大洲是非洲。,印度的所在大洲是什么？,"请只根据下面材料回答。
材料：材料中写道：印度的所在大洲是非洲。
问：印度的所在大洲是什么？
答：",false_context_conflict,use_material_first,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0009,context_priority,pkck_0009,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0009_s2,印度,所在大洲,country_continent,亚洲,非洲,材料中写道：印度的所在大洲是非洲。,印度的所在大洲是什么？,"材料：材料中写道：印度的所在大洲是非洲。
印度的所在大洲是什么？
请给出简短答案：",false_context_conflict,brief_qa,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0009,neutral_short,pkck_0009,source_id_group_split|prompt_style_heldout_split|category_heldout_split
pkck_0009_s3,印度,所在大洲,country_continent,亚洲,非洲,材料中写道：印度的所在大洲是非洲。,印度的所在大洲是什么？,"如果材料与常识不一致，请优先复述材料中的说法。
材料：材料中写道：印度的所在大洲是非洲。
问题：印度的所在大洲是什么？
答案：",false_context_conflict,conflict_explicit,zh,pk_follow|ck_follow|other|refusal|irrelevant,pkck_0009,explicit_context_priority,pkck_0009,source_id_group_split|prompt_style_heldout_split|category_heldout_split
