id,trace_id,version,problem,trace_text,step_index,num_steps,step_text,step_prefix_text,error_step_index,label,label_name,error_type,correct_answer,corrupted_answer
pe_v1_0000_correct_step1,pe_v1_0000,correct,计算 26 + 12 + 23。,"题目：计算 26 + 12 + 23。
步骤1：先计算 26 + 12 = 38。
步骤2：再计算 38 + 23 = 61。
答案：61。",1,3,步骤1：先计算 26 + 12 = 38。,"题目：计算 26 + 12 + 23。
步骤1：先计算 26 + 12 = 38。",-1,-1,no_error_control,final_addition_error,61,59
pe_v1_0000_correct_step2,pe_v1_0000,correct,计算 26 + 12 + 23。,"题目：计算 26 + 12 + 23。
步骤1：先计算 26 + 12 = 38。
步骤2：再计算 38 + 23 = 61。
答案：61。",2,3,步骤2：再计算 38 + 23 = 61。,"题目：计算 26 + 12 + 23。
步骤1：先计算 26 + 12 = 38。
步骤2：再计算 38 + 23 = 61。",-1,-1,no_error_control,final_addition_error,61,59
pe_v1_0000_correct_step3,pe_v1_0000,correct,计算 26 + 12 + 23。,"题目：计算 26 + 12 + 23。
步骤1：先计算 26 + 12 = 38。
步骤2：再计算 38 + 23 = 61。
答案：61。",3,3,答案：61。,"题目：计算 26 + 12 + 23。
步骤1：先计算 26 + 12 = 38。
步骤2：再计算 38 + 23 = 61。
答案：61。",-1,-1,no_error_control,final_addition_error,61,59
pe_v1_0000_corrupted_step1,pe_v1_0000,corrupted,计算 26 + 12 + 23。,"题目：计算 26 + 12 + 23。
步骤1：先计算 26 + 12 = 38。
步骤2：再计算 38 + 23 = 59。
答案：59。",1,3,步骤1：先计算 26 + 12 = 38。,"题目：计算 26 + 12 + 23。
步骤1：先计算 26 + 12 = 38。",2,0,before_error,final_addition_error,61,59
pe_v1_0000_corrupted_step2,pe_v1_0000,corrupted,计算 26 + 12 + 23。,"题目：计算 26 + 12 + 23。
步骤1：先计算 26 + 12 = 38。
步骤2：再计算 38 + 23 = 59。
答案：59。",2,3,步骤2：再计算 38 + 23 = 59。,"题目：计算 26 + 12 + 23。
步骤1：先计算 26 + 12 = 38。
步骤2：再计算 38 + 23 = 59。",2,1,at_or_after_error,final_addition_error,61,59
pe_v1_0000_corrupted_step3,pe_v1_0000,corrupted,计算 26 + 12 + 23。,"题目：计算 26 + 12 + 23。
步骤1：先计算 26 + 12 = 38。
步骤2：再计算 38 + 23 = 59。
答案：59。",3,3,答案：59。,"题目：计算 26 + 12 + 23。
步骤1：先计算 26 + 12 = 38。
步骤2：再计算 38 + 23 = 59。
答案：59。",2,1,at_or_after_error,final_addition_error,61,59
pe_v1_0001_correct_step1,pe_v1_0001,correct,计算 10 × 6 + 52。,"题目：计算 10 × 6 + 52。
步骤1：先计算 10 × 6 = 60。
步骤2：再计算 60 + 52 = 112。
答案：112。",1,3,步骤1：先计算 10 × 6 = 60。,"题目：计算 10 × 6 + 52。
步骤1：先计算 10 × 6 = 60。",-1,-1,no_error_control,final_addition_error,112,108
pe_v1_0001_correct_step2,pe_v1_0001,correct,计算 10 × 6 + 52。,"题目：计算 10 × 6 + 52。
步骤1：先计算 10 × 6 = 60。
步骤2：再计算 60 + 52 = 112。
答案：112。",2,3,步骤2：再计算 60 + 52 = 112。,"题目：计算 10 × 6 + 52。
步骤1：先计算 10 × 6 = 60。
步骤2：再计算 60 + 52 = 112。",-1,-1,no_error_control,final_addition_error,112,108
pe_v1_0001_correct_step3,pe_v1_0001,correct,计算 10 × 6 + 52。,"题目：计算 10 × 6 + 52。
步骤1：先计算 10 × 6 = 60。
步骤2：再计算 60 + 52 = 112。
答案：112。",3,3,答案：112。,"题目：计算 10 × 6 + 52。
步骤1：先计算 10 × 6 = 60。
步骤2：再计算 60 + 52 = 112。
答案：112。",-1,-1,no_error_control,final_addition_error,112,108
pe_v1_0001_corrupted_step1,pe_v1_0001,corrupted,计算 10 × 6 + 52。,"题目：计算 10 × 6 + 52。
步骤1：先计算 10 × 6 = 60。
步骤2：再计算 60 + 52 = 108。
答案：108。",1,3,步骤1：先计算 10 × 6 = 60。,"题目：计算 10 × 6 + 52。
步骤1：先计算 10 × 6 = 60。",2,0,before_error,final_addition_error,112,108
pe_v1_0001_corrupted_step2,pe_v1_0001,corrupted,计算 10 × 6 + 52。,"题目：计算 10 × 6 + 52。
步骤1：先计算 10 × 6 = 60。
步骤2：再计算 60 + 52 = 108。
答案：108。",2,3,步骤2：再计算 60 + 52 = 108。,"题目：计算 10 × 6 + 52。
步骤1：先计算 10 × 6 = 60。
步骤2：再计算 60 + 52 = 108。",2,1,at_or_after_error,final_addition_error,112,108
pe_v1_0001_corrupted_step3,pe_v1_0001,corrupted,计算 10 × 6 + 52。,"题目：计算 10 × 6 + 52。
步骤1：先计算 10 × 6 = 60。
步骤2：再计算 60 + 52 = 108。
答案：108。",3,3,答案：108。,"题目：计算 10 × 6 + 52。
步骤1：先计算 10 × 6 = 60。
步骤2：再计算 60 + 52 = 108。
答案：108。",2,1,at_or_after_error,final_addition_error,112,108
pe_v1_0002_correct_step1,pe_v1_0002,correct,计算 (26 + 21) × 3。,"题目：计算 (26 + 21) × 3。
步骤1：先计算括号内 26 + 21 = 47。
步骤2：再计算 47 × 3 = 141。
答案：141。",1,3,步骤1：先计算括号内 26 + 21 = 47。,"题目：计算 (26 + 21) × 3。
步骤1：先计算括号内 26 + 21 = 47。",-1,-1,no_error_control,final_multiplication_error,141,145
pe_v1_0002_correct_step2,pe_v1_0002,correct,计算 (26 + 21) × 3。,"题目：计算 (26 + 21) × 3。
步骤1：先计算括号内 26 + 21 = 47。
步骤2：再计算 47 × 3 = 141。
答案：141。",2,3,步骤2：再计算 47 × 3 = 141。,"题目：计算 (26 + 21) × 3。
步骤1：先计算括号内 26 + 21 = 47。
步骤2：再计算 47 × 3 = 141。",-1,-1,no_error_control,final_multiplication_error,141,145
pe_v1_0002_correct_step3,pe_v1_0002,correct,计算 (26 + 21) × 3。,"题目：计算 (26 + 21) × 3。
步骤1：先计算括号内 26 + 21 = 47。
步骤2：再计算 47 × 3 = 141。
答案：141。",3,3,答案：141。,"题目：计算 (26 + 21) × 3。
步骤1：先计算括号内 26 + 21 = 47。
步骤2：再计算 47 × 3 = 141。
答案：141。",-1,-1,no_error_control,final_multiplication_error,141,145
pe_v1_0002_corrupted_step1,pe_v1_0002,corrupted,计算 (26 + 21) × 3。,"题目：计算 (26 + 21) × 3。
步骤1：先计算括号内 26 + 21 = 47。
步骤2：再计算 47 × 3 = 145。
答案：145。",1,3,步骤1：先计算括号内 26 + 21 = 47。,"题目：计算 (26 + 21) × 3。
步骤1：先计算括号内 26 + 21 = 47。",2,0,before_error,final_multiplication_error,141,145
pe_v1_0002_corrupted_step2,pe_v1_0002,corrupted,计算 (26 + 21) × 3。,"题目：计算 (26 + 21) × 3。
步骤1：先计算括号内 26 + 21 = 47。
步骤2：再计算 47 × 3 = 145。
答案：145。",2,3,步骤2：再计算 47 × 3 = 145。,"题目：计算 (26 + 21) × 3。
步骤1：先计算括号内 26 + 21 = 47。
步骤2：再计算 47 × 3 = 145。",2,1,at_or_after_error,final_multiplication_error,141,145
pe_v1_0002_corrupted_step3,pe_v1_0002,corrupted,计算 (26 + 21) × 3。,"题目：计算 (26 + 21) × 3。
步骤1：先计算括号内 26 + 21 = 47。
步骤2：再计算 47 × 3 = 145。
答案：145。",3,3,答案：145。,"题目：计算 (26 + 21) × 3。
步骤1：先计算括号内 26 + 21 = 47。
步骤2：再计算 47 × 3 = 145。
答案：145。",2,1,at_or_after_error,final_multiplication_error,141,145
pe_v1_0003_correct_step1,pe_v1_0003,correct,解方程 2x + 4 = 34。,"题目：解方程 2x + 4 = 34。
步骤1：两边减去 4，得到 2x = 30。
步骤2：两边除以 2，得到 x = 15。
答案：x = 15。",1,3,步骤1：两边减去 4，得到 2x = 30。,"题目：解方程 2x + 4 = 34。
步骤1：两边减去 4，得到 2x = 30。",-1,-1,no_error_control,division_error,15,13
pe_v1_0003_correct_step2,pe_v1_0003,correct,解方程 2x + 4 = 34。,"题目：解方程 2x + 4 = 34。
步骤1：两边减去 4，得到 2x = 30。
步骤2：两边除以 2，得到 x = 15。
答案：x = 15。",2,3,步骤2：两边除以 2，得到 x = 15。,"题目：解方程 2x + 4 = 34。
步骤1：两边减去 4，得到 2x = 30。
步骤2：两边除以 2，得到 x = 15。",-1,-1,no_error_control,division_error,15,13
pe_v1_0003_correct_step3,pe_v1_0003,correct,解方程 2x + 4 = 34。,"题目：解方程 2x + 4 = 34。
步骤1：两边减去 4，得到 2x = 30。
步骤2：两边除以 2，得到 x = 15。
答案：x = 15。",3,3,答案：x = 15。,"题目：解方程 2x + 4 = 34。
步骤1：两边减去 4，得到 2x = 30。
步骤2：两边除以 2，得到 x = 15。
答案：x = 15。",-1,-1,no_error_control,division_error,15,13
pe_v1_0003_corrupted_step1,pe_v1_0003,corrupted,解方程 2x + 4 = 34。,"题目：解方程 2x + 4 = 34。
步骤1：两边减去 4，得到 2x = 30。
步骤2：两边除以 2，得到 x = 13。
答案：x = 13。",1,3,步骤1：两边减去 4，得到 2x = 30。,"题目：解方程 2x + 4 = 34。
步骤1：两边减去 4，得到 2x = 30。",2,0,before_error,division_error,15,13
pe_v1_0003_corrupted_step2,pe_v1_0003,corrupted,解方程 2x + 4 = 34。,"题目：解方程 2x + 4 = 34。
步骤1：两边减去 4，得到 2x = 30。
步骤2：两边除以 2，得到 x = 13。
答案：x = 13。",2,3,步骤2：两边除以 2，得到 x = 13。,"题目：解方程 2x + 4 = 34。
步骤1：两边减去 4，得到 2x = 30。
步骤2：两边除以 2，得到 x = 13。",2,1,at_or_after_error,division_error,15,13
pe_v1_0003_corrupted_step3,pe_v1_0003,corrupted,解方程 2x + 4 = 34。,"题目：解方程 2x + 4 = 34。
步骤1：两边减去 4，得到 2x = 30。
步骤2：两边除以 2，得到 x = 13。
答案：x = 13。",3,3,答案：x = 13。,"题目：解方程 2x + 4 = 34。
步骤1：两边减去 4，得到 2x = 30。
步骤2：两边除以 2，得到 x = 13。
答案：x = 13。",2,1,at_or_after_error,division_error,15,13
pe_v1_0004_correct_step1,pe_v1_0004,correct,计算 39 + 25 + 38。,"题目：计算 39 + 25 + 38。
步骤1：先计算 39 + 25 = 64。
步骤2：再计算 64 + 38 = 102。
答案：102。",1,3,步骤1：先计算 39 + 25 = 64。,"题目：计算 39 + 25 + 38。
步骤1：先计算 39 + 25 = 64。",-1,-1,no_error_control,final_addition_error,102,104
pe_v1_0004_correct_step2,pe_v1_0004,correct,计算 39 + 25 + 38。,"题目：计算 39 + 25 + 38。
步骤1：先计算 39 + 25 = 64。
步骤2：再计算 64 + 38 = 102。
答案：102。",2,3,步骤2：再计算 64 + 38 = 102。,"题目：计算 39 + 25 + 38。
步骤1：先计算 39 + 25 = 64。
步骤2：再计算 64 + 38 = 102。",-1,-1,no_error_control,final_addition_error,102,104
pe_v1_0004_correct_step3,pe_v1_0004,correct,计算 39 + 25 + 38。,"题目：计算 39 + 25 + 38。
步骤1：先计算 39 + 25 = 64。
步骤2：再计算 64 + 38 = 102。
答案：102。",3,3,答案：102。,"题目：计算 39 + 25 + 38。
步骤1：先计算 39 + 25 = 64。
步骤2：再计算 64 + 38 = 102。
答案：102。",-1,-1,no_error_control,final_addition_error,102,104
pe_v1_0004_corrupted_step1,pe_v1_0004,corrupted,计算 39 + 25 + 38。,"题目：计算 39 + 25 + 38。
步骤1：先计算 39 + 25 = 64。
步骤2：再计算 64 + 38 = 104。
答案：104。",1,3,步骤1：先计算 39 + 25 = 64。,"题目：计算 39 + 25 + 38。
步骤1：先计算 39 + 25 = 64。",2,0,before_error,final_addition_error,102,104
pe_v1_0004_corrupted_step2,pe_v1_0004,corrupted,计算 39 + 25 + 38。,"题目：计算 39 + 25 + 38。
步骤1：先计算 39 + 25 = 64。
步骤2：再计算 64 + 38 = 104。
答案：104。",2,3,步骤2：再计算 64 + 38 = 104。,"题目：计算 39 + 25 + 38。
步骤1：先计算 39 + 25 = 64。
步骤2：再计算 64 + 38 = 104。",2,1,at_or_after_error,final_addition_error,102,104
pe_v1_0004_corrupted_step3,pe_v1_0004,corrupted,计算 39 + 25 + 38。,"题目：计算 39 + 25 + 38。
步骤1：先计算 39 + 25 = 64。
步骤2：再计算 64 + 38 = 104。
答案：104。",3,3,答案：104。,"题目：计算 39 + 25 + 38。
步骤1：先计算 39 + 25 = 64。
步骤2：再计算 64 + 38 = 104。
答案：104。",2,1,at_or_after_error,final_addition_error,102,104
pe_v1_0005_correct_step1,pe_v1_0005,correct,计算 3 × 12 + 17。,"题目：计算 3 × 12 + 17。
步骤1：先计算 3 × 12 = 36。
步骤2：再计算 36 + 17 = 53。
答案：53。",1,3,步骤1：先计算 3 × 12 = 36。,"题目：计算 3 × 12 + 17。
步骤1：先计算 3 × 12 = 36。",-1,-1,no_error_control,final_addition_error,53,57
pe_v1_0005_correct_step2,pe_v1_0005,correct,计算 3 × 12 + 17。,"题目：计算 3 × 12 + 17。
步骤1：先计算 3 × 12 = 36。
步骤2：再计算 36 + 17 = 53。
答案：53。",2,3,步骤2：再计算 36 + 17 = 53。,"题目：计算 3 × 12 + 17。
步骤1：先计算 3 × 12 = 36。
步骤2：再计算 36 + 17 = 53。",-1,-1,no_error_control,final_addition_error,53,57
pe_v1_0005_correct_step3,pe_v1_0005,correct,计算 3 × 12 + 17。,"题目：计算 3 × 12 + 17。
步骤1：先计算 3 × 12 = 36。
步骤2：再计算 36 + 17 = 53。
答案：53。",3,3,答案：53。,"题目：计算 3 × 12 + 17。
步骤1：先计算 3 × 12 = 36。
步骤2：再计算 36 + 17 = 53。
答案：53。",-1,-1,no_error_control,final_addition_error,53,57
pe_v1_0005_corrupted_step1,pe_v1_0005,corrupted,计算 3 × 12 + 17。,"题目：计算 3 × 12 + 17。
步骤1：先计算 3 × 12 = 36。
步骤2：再计算 36 + 17 = 57。
答案：57。",1,3,步骤1：先计算 3 × 12 = 36。,"题目：计算 3 × 12 + 17。
步骤1：先计算 3 × 12 = 36。",2,0,before_error,final_addition_error,53,57
pe_v1_0005_corrupted_step2,pe_v1_0005,corrupted,计算 3 × 12 + 17。,"题目：计算 3 × 12 + 17。
步骤1：先计算 3 × 12 = 36。
步骤2：再计算 36 + 17 = 57。
答案：57。",2,3,步骤2：再计算 36 + 17 = 57。,"题目：计算 3 × 12 + 17。
步骤1：先计算 3 × 12 = 36。
步骤2：再计算 36 + 17 = 57。",2,1,at_or_after_error,final_addition_error,53,57
pe_v1_0005_corrupted_step3,pe_v1_0005,corrupted,计算 3 × 12 + 17。,"题目：计算 3 × 12 + 17。
步骤1：先计算 3 × 12 = 36。
步骤2：再计算 36 + 17 = 57。
答案：57。",3,3,答案：57。,"题目：计算 3 × 12 + 17。
步骤1：先计算 3 × 12 = 36。
步骤2：再计算 36 + 17 = 57。
答案：57。",2,1,at_or_after_error,final_addition_error,53,57
pe_v1_0006_correct_step1,pe_v1_0006,correct,计算 (25 + 21) × 8。,"题目：计算 (25 + 21) × 8。
步骤1：先计算括号内 25 + 21 = 46。
步骤2：再计算 46 × 8 = 368。
答案：368。",1,3,步骤1：先计算括号内 25 + 21 = 46。,"题目：计算 (25 + 21) × 8。
步骤1：先计算括号内 25 + 21 = 46。",-1,-1,no_error_control,final_multiplication_error,368,364
pe_v1_0006_correct_step2,pe_v1_0006,correct,计算 (25 + 21) × 8。,"题目：计算 (25 + 21) × 8。
步骤1：先计算括号内 25 + 21 = 46。
步骤2：再计算 46 × 8 = 368。
答案：368。",2,3,步骤2：再计算 46 × 8 = 368。,"题目：计算 (25 + 21) × 8。
步骤1：先计算括号内 25 + 21 = 46。
步骤2：再计算 46 × 8 = 368。",-1,-1,no_error_control,final_multiplication_error,368,364
pe_v1_0006_correct_step3,pe_v1_0006,correct,计算 (25 + 21) × 8。,"题目：计算 (25 + 21) × 8。
步骤1：先计算括号内 25 + 21 = 46。
步骤2：再计算 46 × 8 = 368。
答案：368。",3,3,答案：368。,"题目：计算 (25 + 21) × 8。
步骤1：先计算括号内 25 + 21 = 46。
步骤2：再计算 46 × 8 = 368。
答案：368。",-1,-1,no_error_control,final_multiplication_error,368,364
